feature,importance
h_dpc_VH,0.0
h_dpc_VI,0.0
h_dpc_VK,0.0
h_dpc_WI,0.0
h_dpc_VM,0.0
h_dpc_VN,0.0
h_dpc_VP,0.0
h_dpc_VQ,0.0
h_dpc_WK,0.0
h_dpc_VS,0.0
h_dpc_VT,0.0
h_dpc_VV,0.0
h_dpc_VW,0.0
h_dpc_VY,0.0
h_dpc_WA,0.0
h_dpc_WC,0.0
h_dpc_WD,0.0
h_dpc_WE,0.0
h_dpc_WF,0.0
h_dpc_YP,0.0
h_dpc_YQ,0.0
h_dpc_YR,0.0
h_dpc_YS,0.0
h_dpc_YT,0.0
h_dpc_WN,0.0
v_aac_W,0.0
v_aac_Y,0.0
v_dpc_AA,0.0
v_dpc_AC,0.0
v_dpc_AD,0.0
h_dpc_YA,0.0
v_dpc_AF,0.0
v_dpc_AG,0.0
h_dpc_YD,0.0
h_dpc_YE,0.0
h_dpc_YG,0.0
h_dpc_YH,0.0
h_dpc_YI,0.0
h_dpc_WL,0.0
h_dpc_WM,0.0
h_dpc_YN,0.0
v_dpc_AI,0.0
v_dpc_AK,0.0
v_dpc_AL,0.0
v_dpc_AM,0.0
v_dpc_AN,0.0
h_dpc_YC,0.0
v_dpc_FH,0.0
h_dpc_WR,0.0
h_dpc_WS,0.0
h_dpc_WT,0.0
h_dpc_WV,0.0
h_dpc_WW,0.0
h_dpc_WY,0.0
h_dpc_YK,0.0
